SexCode,MaritalCode,PrevEdCode,DDVeteran,DaysEnrollToStart,AgeAtStart,AgeAtGrad,GPA,MinutesAttended,HoursAttempt,HoursEarned,HoursReq,MinutesAbsent,TransferCredits,TransferGPA,MinEFC,MaxENTEntranceScore,gradFlag
F,NULL,SOMECOLL,0,151,20,23,2.81,123490,2655,2520,2565,8795,12,NA,0,82.5,1
F,NULL,SOMECOLL,0,149,23,26,3.11,130040,2520,2520,2565,5305,9,NA,4141,85,1
F,UN,SOMECOLL,0,167,20,22,3.16,123459,2520,2520,2565,5542,21,NA,0,81,1
F,M,BACH,0,45,22,26,3.18,150964,2614,2569,2565,718,3,3,0,78,1
F,UN,HS,0,163,18,21,2.19,23365,405,270,2565,935,NA,NA,1517,79,0
F,NULL,SOMECOLL,0,31,40,43,3.81,142433,2520,2520,2565,762,NA,2.96,0,90.5,1
F,D,ASSOC,0,75,47,49,3.2,117506,2325,2325,2250,784,30,3.11,0,82.5,1
F,UN,SOMECOLL,0,53,27,30,3.54,101308,2520,2520,2565,3797,33,3.73,0,82.5,1
F,UN,SOMECOLL,0,151,18,22,2.78,104863,2085,1680,2565,6752,NA,NA,0,NA,0
M,UN,HS,0,150,29,33,2.74,50965,1275,1050,2565,10535,9,NA,0,90,0
F,UN,SOMECOLL,0,109,23,25,3.48,125576,2520,2520,2565,3134,16,NA,0,93,1
M,S,SOMECOLL,0,188,26,29,0,80828,0,0,2565,862,NA,1.87,0,NA,0
F,UN,SOMECOLL,0,66,23,26,3.19,110250,2565,2520,2565,4530,27,NA,0,80,1
F,UN,SOMECOLL,0,58,27,30,3.18,99887,1860,1815,2250,2338,13,NA,0,81,0
F,UN,SOMECOLL,0,114,23,26,1.99,23205,405,225,2565,1095,NA,NA,6764,89.5,0
F,UN,SOMECOLL,0,115,21,24,2.51,52290,1155,930,2565,735,18,NA,27871,87,0
F,UN,SOMECOLL,0,136,21,24,3.28,44455,1335,1245,2565,1310,31,NA,35235,82,0
M,UN,SOMECOLL,0,46,28,31,3.1,130505,2430,2250,2250,4690,10,NA,3178,NA,1
F,S,BACH,0,52,24,27,3.38,121580,2520,2520,2565,2200,30,2.85,0,78,1
F,UN,SOMECOLL,0,80,21,24,3.33,125186,2610,2565,2565,2514,26,NA,0,NA,1
F,UN,HS,0,111,21,24,2.79,12600,270,180,2250,0,10,NA,999999,81,0
F,NULL,ASSOC,0,184,22,25,2.03,26595,630,450,2565,405,12,1.92,0,79.5,0
F,S,BACH,0,118,50,53,3.28,104820,2520,2520,2565,1515,36,3.04,0,NA,1
F,NULL,HS,0,130,18,21,3.09,133625,2520,2520,2565,3295,NA,NA,0,81,1
M,UN,SOMECOLL,0,108,29,32,0.73,9565,270,45,2565,5435,NA,NA,0,NA,0
F,UN,HS,0,94,20,24,2.13,25110,495,270,2565,4590,NA,NA,0,NA,0
F,UN,SOMECOLL,0,68,23,26,3.63,123910,2520,2520,2565,3965,17,2.73,0,85.5,1
F,NULL,SOMECOLL,0,80,39,42,2.51,46385,1110,975,2565,1795,19,2.8,1577,NA,0
F,S,BACH,0,116,26,29,3.59,134370,2520,2520,2565,1990,9,NA,0,95.5,1
M,S,BACH,0,112,23,26,3,139578,2565,2520,2565,5082,3,NA,0,78,1
M,UN,SOMECOLL,0,121,22,25,0,7065,135,0,2565,1035,NA,NA,3433,85.45,0
F,S,SOMECOLL,0,108,28,30,3.95,90828,2250,2250,2250,882,52,2.99,0,92,1
F,UN,BACH,0,151,22,25,3.54,115827,2520,2520,2565,1623,26,NA,1292,NA,1
F,UN,SOMECOLL,0,40,24,27,2.33,28935,765,495,2565,5565,9,NA,0,80.5,0
F,NULL,BACH,0,11,30,33,3.45,131785,2595,2565,2565,710,17.36,2.67,3936,91,1
F,UN,ASSOC,0,116,24,26,3.55,105165,2520,2520,2565,4090,37,NA,0,86.5,1
F,NULL,SOMECOLL,0,98,28,30,2.58,38825,1020,900,2250,1495,28,NA,0,83,0
F,UN,ASSOC,0,156,30,33,2.95,110767,2610,2520,2565,3533,31,NA,0,79.5,1
F,S,BACH,0,27,37,39,3.37,105945,2520,2520,2565,3465,33,3.13,0,89.5,1
M,UN,SOMECOLL,0,124,19,22,1.15,4645,270,225,2565,755,8,1.19,1154,84,0
M,UN,ASSOC,0,84,23,26,3.25,32205,1200,1110,2565,1440,34,NA,0,NA,0
F,NULL,SOMECOLL,0,94,29,31,3.23,118905,2250,2250,2250,1995,19,NA,462,79.5,1
F,UN,BACH,0,129,22,24,3,118090,2565,2520,2565,3985,29,NA,0,84.5,1
F,S,ASSOC,0,16,21,23,2.83,12360,945,810,2565,300,37,2.91,0,78,0
M,UN,BACH,0,98,23,26,3.48,127347,2610,2565,2565,4083,19,NA,0,84,1
F,UN,SOMECOLL,0,72,27,29,3.53,91130,2250,2250,2250,2530,41,NA,214,89.5,1
F,NULL,SOMECOLL,0,149,25,27,3.13,118478,2835,2520,2565,4177,NA,NA,0,81.5,1
M,UN,SOMECOLL,0,149,25,28,3.91,143432,2520,2520,2565,1123,NA,NA,0,92.5,1
F,S,HS,0,139,18,22,2.25,41255,720,540,2565,1945,NA,NA,0,80,0
F,UN,SOMECOLL,0,67,27,30,3.01,129660,2610,2520,2565,2625,10,NA,35,79.5,1
F,NULL,MAST,0,131,26,29,3.82,137715,2550,2550,2565,4455,6,NA,0,NA,1
M,UN,SOMECOLL,0,87,24,30,3.07,106396,2220,1965,2565,6374,19,2.82,0,86,0
F,UN,SOMECOLL,0,83,19,22,2.99,40648,810,720,2565,1652,3,NA,100,NA,0
F,NULL,SOMECOLL,0,119,24,27,3.34,114409,2655,2565,2565,5906,28,NA,0,81,1
M,M,BACH,0,123,32,36,2.99,141933,2662.5,2520,2565,6542,NA,NA,0,81.5,1
M,UN,SOMECOLL,0,115,29,32,0,1200,270,180,2565,0,12,NA,2272,80.5,0
F,NULL,SOMECOLL,0,53,21,23,3.27,105770,2610,2565,2565,4255,37,3.06,0,82.5,1
F,S,SOMECOLL,0,9,22,24,3.88,111300,2295,2295,2250,120,36.65,3.55,0,81.5,1
M,UN,SOMECOLL,0,132,30,33,2.13,11655,450,315,2250,645,22,NA,11136,84.5,0
F,S,BACH,0,82,24,27,3.25,110787,2610,2520,2565,1068,31,2.68,0,78,1
F,S,BACH,0,39,20,23,3.24,124300,2745,2565,2565,1370,33,2.85,0,78.5,1
F,M,SOMECOLL,0,67,22,25,2.9,132645,2685,2595,2565,10800,16,3.07,0,93,1
M,NULL,HS,0,114,17,21,3,148414,2655,2520,2565,2396,NA,NA,0,81,1
F,UN,SOMECOLL,0,115,23,26,3.05,102492,2182.5,1897.5,2565,4408,17,NA,0,80,0
F,UN,BACH,0,110,21,24,3.39,128246,2700,2520,2565,11839,13,NA,0,87.5,1
F,NULL,BACH,0,80,23,26,3.17,127189,2595,2565,2565,8861,12,NA,0,87.5,1
F,UN,SOMECOLL,0,130,28,32,3.13,145777,2835,2565,2565,8753,3,NA,0,82,1
F,UN,SOMECOLL,0,157,25,28,0,4650,135,0,2250,2550,10,NA,0,81.92,0
F,S,ASSOC,0,62,22,25,3.11,119130,2865,2565,2565,3920,43,3.09,0,NA,1
M,UN,BACH,0,75,23,25,3.69,126271,2520,2520,2565,4614,17,NA,0,NA,1
F,UN,SOMECOLL,0,136,22,25,3.28,121877,2610,2520,2565,8008,21,NA,0,85,1
F,NULL,SOMECOLL,0,149,24,27,2.85,151302,2655,2520,2565,3198,NA,NA,0,79.87,1
F,UN,SOMECOLL,0,125,23,25,3.48,101978,2587.5,2520,2565,9487,34,NA,0,NA,1
F,M,ASSOC,0,62,30,34,3.36,139841,2833.5,2541,2565,4159,18,2.99,0,87.5,1
M,UN,BACH,0,60,23,26,3.15,126652,2520,2520,2565,2888,13,NA,0,NA,1
F,NULL,SOMECOLL,0,131,20,23,1.59,23310,405,180,2565,990,NA,NA,1071,79.5,0
M,UN,SOMECOLL,0,153,31,34,3.28,134347,2565,2520,2565,4248,10,NA,0,87.5,1
F,UN,BACH,0,158,21,23,3.36,109495,2565,2520,2565,3515,33,NA,0,85,1
F,UN,SOMECOLL,0,142,21,24,3.14,139929,2610,2520,2565,5836,7,NA,0,NA,1
F,UN,SOMECOLL,0,128,27,31,2.91,134853,2925,2610,2565,5632,20,NA,0,80.5,1
M,UN,HS,0,91,22,26,2.84,153487,2797.5,2520,2565,5978,NA,NA,0,76.5,1
F,M,SOMECOLL,0,126,28,31,3.43,42600,810,810,2565,0,6,3.25,2048,NA,0
M,UN,SOMECOLL,0,98,23,25,3.31,111330,2520,2520,2565,3610,28,NA,33455,92,1
F,UN,SOMECOLL,0,109,25,27,3.66,115884,2520,2520,2565,4021,27,NA,0,NA,1
M,UN,SOMECOLL,0,83,24,26,3.75,99086,2250,2250,2250,2779,37,NA,2743,92.5,1
M,UN,SOMECOLL,0,128,38,41,2.95,149570,2745,2520,2565,1345,NA,NA,13608,84.5,1
F,NULL,SOMECOLL,0,51,22,24,3.71,109689,2520,2520,2565,261,38,3.29,197057,91.5,1
F,UN,HS,0,83,25,29,0,6000,135,0,2565,2100,NA,NA,NA,85.5,0
F,NULL,SOMECOLL,0,33,24,27,3.25,89578,2070,1965,2565,1157,35,2.78,0,85,0
F,UN,HS,0,115,31,34,3.81,132765,2520,2520,2565,5685,NA,NA,1324,NA,1
F,S,BACH,0,59,22,24,3.43,96958,2520,2520,2565,3127,40,3.3,0,80.5,1
